level,group,feature,coef
decade,70s,key,-0.029877588046677946
decade,70s,loudness,0.15375005586652912
decade,70s,mode,0.17678331752324292
decade,70s,speechiness,-0.5291331500609899
decade,70s,acousticness,-0.45102040910234714
decade,70s,instrumentalness,-0.8935336956857554
decade,70s,liveness,-0.027554614947087053
decade,70s,valence,-0.07110210143483807
decade,70s,tempo,0.00662492435955241
decade,70s,duration_ms,0.1841722410306459
decade,70s,time_signature,0.17887953612476087
decade,70s,chorus_hit,-0.0463788989954089
decade,70s,sections,-0.18629928160482748
decade,80s,danceability,0.8259695919817587
decade,80s,energy,-0.19497856846104475
decade,80s,key,0.03927154503408341
decade,80s,loudness,0.4866671014671442
decade,80s,mode,0.12125594145381523
decade,80s,speechiness,-0.9762843548420292
decade,80s,acousticness,-0.6412678744690445
decade,80s,instrumentalness,-1.1807920908851302
decade,80s,liveness,-0.14357706145423807
decade,80s,valence,-0.13893153407260214
decade,80s,tempo,0.1827502666651778
decade,80s,duration_ms,0.2708172656556215
decade,80s,time_signature,0.14553130696053992
decade,80s,chorus_hit,-0.03606772497405525
decade,80s,sections,-0.17830741426788985
decade,90s,danceability,1.3322740136504596
decade,90s,energy,-0.44867078221196366
decade,90s,key,0.12007451895333246
decade,90s,loudness,0.8500102374871075
decade,90s,mode,0.08122377434915876
decade,90s,speechiness,-0.17674607960865396
decade,90s,acousticness,-0.9446991230479235
decade,90s,instrumentalness,-1.2563324202477024
decade,90s,liveness,-0.18097239106132815
decade,90s,valence,-0.45056627781516256
decade,90s,tempo,0.12422749797450552
decade,90s,duration_ms,0.5382653064112056
decade,90s,time_signature,-0.010146264045735612
decade,90s,chorus_hit,-0.08162995335908588
decade,90s,sections,-0.12483856128910871
decade,00s,danceability,1.0832602409030865
decade,00s,energy,-1.4667241896636463
decade,00s,key,0.038310864842051984
decade,00s,loudness,2.2677542799016845
decade,00s,mode,0.2599290309885933
decade,00s,speechiness,0.018278076096529077
decade,00s,acousticness,-0.6068658128690666
decade,00s,instrumentalness,-1.7445257307242377
decade,00s,liveness,-0.09656920458079145
decade,00s,valence,-0.1107347314185128
decade,00s,tempo,0.07830979752542866
decade,00s,duration_ms,-0.24035182200414992
decade,00s,time_signature,0.15678572614126277
decade,00s,chorus_hit,-0.08073697162577856
decade,00s,sections,-0.07220826963665457
decade,10s,danceability,0.5984155747277307
decade,10s,energy,-1.3978102591649646
decade,10s,key,0.016717912043091997
decade,10s,loudness,1.9272246714662724
decade,10s,mode,0.08519288459689577
decade,10s,speechiness,0.007953536480847297
decade,10s,acousticness,-0.4532029232131858
decade,10s,instrumentalness,-2.4193401013063367
decade,10s,liveness,-0.06743197590102924
decade,10s,valence,-0.12195706416279278
decade,10s,tempo,0.09574652010854104
decade,10s,duration_ms,-0.23927851436438588
decade,10s,time_signature,0.20602691243742954
decade,10s,chorus_hit,-0.01656115532548169
decade,10s,sections,0.01562646411368834
