level,group,feature,importance
decade,80s,acousticness,0.12866175414769895
decade,80s,instrumentalness,0.162433320808063
decade,80s,liveness,0.04343934610889242
decade,80s,valence,0.06266001871229254
decade,80s,tempo,0.042561396248336276
decade,80s,duration_ms,0.11515974551195701
decade,80s,time_signature,0.006017336494726386
decade,80s,chorus_hit,0.03358687029199135
decade,80s,sections,0.040360287569209084
decade,90s,danceability,0.15272648407874226
decade,90s,energy,0.06545963687025354
decade,90s,key,0.016652542039103522
decade,90s,loudness,0.06976833204105573
decade,90s,mode,0.004146063515165915
decade,90s,speechiness,0.056220220965251824
decade,90s,acousticness,0.13596967046013467
decade,90s,instrumentalness,0.16275774415192149
decade,90s,liveness,0.03383550602642291
decade,90s,valence,0.04640329929220371
decade,90s,tempo,0.030858624062215113
decade,90s,duration_ms,0.15379350784380816
decade,90s,time_signature,0.003888311887654212
decade,90s,chorus_hit,0.026141325472806988
decade,90s,sections,0.04137873129326009
decade,00s,danceability,0.14091236745735045
decade,00s,energy,0.07638287333393538
decade,00s,key,0.013689455462064282
decade,00s,loudness,0.1020586092043447
decade,00s,mode,0.006568859553627191
decade,00s,speechiness,0.04314086940187088
decade,00s,acousticness,0.08909100276017494
decade,00s,instrumentalness,0.2560642703172114
decade,00s,liveness,0.025546660502511972
decade,00s,valence,0.0546266082347575
decade,00s,tempo,0.027620030553270104
decade,00s,duration_ms,0.10551003775764002
decade,00s,time_signature,0.0047367568816180225
decade,00s,chorus_hit,0.023515216880436434
decade,00s,sections,0.03053638169918672
decade,10s,danceability,0.10730634053382379
decade,10s,energy,0.09823921055998057
decade,10s,key,0.014015114337576856
decade,10s,loudness,0.11022232432100303
decade,10s,mode,0.003287076847312764
decade,10s,speechiness,0.03585197836857177
decade,10s,acousticness,0.10567458941628063
decade,10s,instrumentalness,0.29612112717216316
decade,10s,liveness,0.026035964979040357
decade,10s,valence,0.05691059302976682
decade,10s,tempo,0.027665377701614823
decade,10s,duration_ms,0.06475385427597603
decade,10s,time_signature,0.007701861883336734
decade,10s,chorus_hit,0.02506588897567502
decade,10s,sections,0.0211486975978778
