level,group,feature,mean_abs_shap,mean_signed_shap
decade,70s,speechiness,0.05363728846368487,-0.0024093994150070318
decade,70s,acousticness,0.06699685493242835,-0.00408275646116757
decade,70s,instrumentalness,0.09620007071850349,-0.005081737264880544
decade,70s,liveness,0.009829598961257398,0.00026874721734007243
decade,70s,valence,0.017618659306220526,0.0017353921496122712
decade,70s,tempo,0.010438938993704277,-0.0008629035498785765
decade,70s,duration_ms,0.04936485363399215,-0.001710212136297841
decade,70s,time_signature,0.011830122347708683,0.0009147302762801994
decade,70s,chorus_hit,0.008457458764652332,-0.0008646866712754532
decade,70s,sections,0.016550499376963096,-0.0010339984179347087
decade,80s,danceability,0.0671089075181063,0.0011233526979489187
decade,80s,energy,0.02341942280785972,0.0010632946807432688
decade,80s,key,0.003948634725276844,0.0006683241246539316
decade,80s,loudness,0.029235510704083482,0.001501132637124207
decade,80s,mode,0.0044791049537865404,0.00039858687045540316
decade,80s,speechiness,0.052833316470844244,0.0038964018472645366
decade,80s,acousticness,0.070879969080451,-0.0017808833241883119
decade,80s,instrumentalness,0.09139128787712193,0.003255540449735371
decade,80s,liveness,0.019168585720797795,0.002580976259888608
decade,80s,valence,0.0244818436218269,0.0015533937371407095
decade,80s,tempo,0.01620474567770359,-0.00021176332542305134
decade,80s,duration_ms,0.06748729536899044,-0.0015417510099690048
decade,80s,time_signature,0.004150809105591204,-0.0002229237714272597
decade,80s,chorus_hit,0.0066412843751431,0.0005022007539566025
decade,80s,sections,0.01723618542118464,-4.309046403843526e-05
decade,90s,danceability,0.09100138604543405,-0.004856644511310385
decade,90s,energy,0.026846474664139683,-0.0018034527305720097
decade,90s,key,0.005586443935262099,0.0003026790212861205
decade,90s,loudness,0.04334110372185737,-0.0029506663889779117
decade,90s,mode,0.0019886632682543956,-0.00019425094609813436
decade,90s,speechiness,0.02779929474452503,-0.0011662592303392284
decade,90s,acousticness,0.080160961905449,-0.0034273459440054116
decade,90s,instrumentalness,0.10073093598199852,0.005539050729221894
decade,90s,liveness,0.01325793464540175,-0.0001004141801596444
decade,90s,valence,0.015870839914232323,-0.0007442335379300268
decade,90s,tempo,0.009353635404954189,6.390128919511574e-05
decade,90s,duration_ms,0.09152345290315608,-0.008070269885957704
decade,90s,time_signature,0.0021785146901430507,-0.00013679420329182034
decade,90s,chorus_hit,0.005196664151921742,-0.00021415265387716883
decade,90s,sections,0.020957267172622886,-0.0013267900785214279
decade,00s,danceability,0.08108817457139449,0.0017181414687469864
decade,00s,energy,0.03907073646882884,-0.0037370754691692853
decade,00s,key,0.0037302204566007275,0.00012284719710644327
decade,00s,loudness,0.06526598802190714,-0.0008784709073640684
decade,00s,mode,0.009051070020796095,-0.0008549072590287348
decade,00s,speechiness,0.017033789126011622,-0.000533841656899593
decade,00s,acousticness,0.0454255858631474,-0.000313572084751576
decade,00s,instrumentalness,0.14644426839558244,-0.009303797385584352
decade,00s,liveness,0.007509952602552965,-0.0010169641057762805
decade,00s,valence,0.019753501640241367,-0.0002054029590216436
decade,00s,tempo,0.006990355182576656,-0.0002017412431429282
decade,00s,duration_ms,0.058523904105121066,-0.0035020236009835315
decade,00s,time_signature,0.0032465398371654035,-0.00019823506723880123
decade,00s,chorus_hit,0.005918088736354423,-0.00023573053999315126
decade,00s,sections,0.011817007673446624,-0.00038912372290304445
decade,10s,danceability,0.05769932446106527,5.632008905415684e-05
decade,10s,energy,0.043925189114964215,0.003724963425447112
decade,10s,key,0.003733228853140111,0.0001727740790861234
decade,10s,loudness,0.0644115311825801,0.0031282890113429945
decade,10s,mode,0.00126880067063979,0.00022370366102587744
decade,10s,speechiness,0.009952167183615692,0.0012499079249934206
decade,10s,acousticness,0.04880859600434453,-0.0018166646645456034
decade,10s,instrumentalness,0.1642756513853513,0.003527477108564509
decade,10s,liveness,0.007028834913523704,5.713028946757609e-05
decade,10s,valence,0.024292887409545282,0.0020136776322152014
decade,10s,tempo,0.008138709421141664,0.0003731106651690982
decade,10s,duration_ms,0.03272195877716388,0.003224534138604534
decade,10s,time_signature,0.004171453100416968,0.0009292705212454485
decade,10s,chorus_hit,0.0059135771248071635,0.0008189124524636931
decade,10s,sections,0.007221280194113399,0.0008437842695063199
