level,group,feature,mean_abs_shap,mean_signed_shap
decade,80s,liveness,0.018788732495570188,0.002098394643689664
decade,80s,valence,0.023814460492042472,0.003341715872898511
decade,80s,tempo,0.014156560403727257,0.0005356788010895928
decade,80s,duration_ms,0.06107749747889414,0.0006339775882856285
decade,80s,time_signature,0.0032881385456505615,8.153113361707377e-05
decade,80s,chorus_hit,0.005084961841971665,0.0006522627217119896
decade,80s,sections,0.01664527589667409,9.821138983150997e-05
decade,90s,danceability,0.0963046747088935,-0.005366915242991885
decade,90s,energy,0.026475977303443747,-0.0021048878764836207
decade,90s,key,0.005111793050977055,0.000495926851984034
decade,90s,loudness,0.036951370529905395,-0.00021783323992109047
decade,90s,mode,0.0016275742660062898,-0.0001525589700790946
decade,90s,speechiness,0.027370120889618918,0.000303397080330236
decade,90s,acousticness,0.08142496808118657,-0.0071820784277016846
decade,90s,instrumentalness,0.0983930312516418,0.005333477857056598
decade,90s,liveness,0.010998438596277166,0.0002093531058358649
decade,90s,valence,0.01305464024311404,-0.0003780854652060149
decade,90s,tempo,0.006991375999890572,-0.0002840216812919966
decade,90s,duration_ms,0.0935298106135813,-0.009158495148270213
decade,90s,time_signature,0.001727040343114886,-5.403087671096343e-05
decade,90s,chorus_hit,0.004103855098508901,-2.0536519200690732e-05
decade,90s,sections,0.020917972363785634,-0.0023803125507960354
decade,00s,danceability,0.08197200333475843,0.005212301885154328
decade,00s,energy,0.038744013392433996,-0.00185048224590879
decade,00s,key,0.0027392581618347974,0.00023901850558935965
decade,00s,loudness,0.06462023160564423,-0.0010255391903658928
decade,00s,mode,0.007773350487615243,-0.0005972026903777021
decade,00s,speechiness,0.015446499257234743,0.0005842485775698644
decade,00s,acousticness,0.045458810126103505,0.0003645715364465531
decade,00s,instrumentalness,0.14167482175461782,-0.006881786798700622
decade,00s,liveness,0.006038618556936446,-0.0002815668645861136
decade,00s,valence,0.0173640135951141,0.0005860730033241762
decade,00s,tempo,0.0063583180365409395,-0.0002778080110697032
decade,00s,duration_ms,0.05407795415031989,0.0004042273825785592
decade,00s,time_signature,0.002446566332534609,0.00022713000332908546
decade,00s,chorus_hit,0.005143233752859195,5.4011524796112046e-05
decade,00s,sections,0.01295438690034004,-0.000854171543894665
decade,10s,danceability,0.058868268600080376,0.0004927821601260003
decade,10s,energy,0.04178335555139659,0.005349087788373247
decade,10s,key,0.0029136187647742255,5.48910997840703e-05
decade,10s,loudness,0.06326735657005068,-0.0010945712223965126
decade,10s,mode,0.0010399796112139066,8.649050533286477e-05
decade,10s,speechiness,0.009346246209526858,0.0020655266867454906
decade,10s,acousticness,0.04671998416122662,-0.0027768940724138755
decade,10s,instrumentalness,0.16908877843023537,-0.003940197689541471
decade,10s,liveness,0.005893804811783043,0.0005821332445654617
decade,10s,valence,0.019934406873656087,0.0012817466966108157
decade,10s,tempo,0.0059688005389106425,0.0005309407878109596
decade,10s,duration_ms,0.031067790286097952,0.0013999248104272543
decade,10s,time_signature,0.003834889335931858,0.001226320481864541
decade,10s,chorus_hit,0.004496965193773826,0.0011198530665238945
decade,10s,sections,0.00726592575494527,0.0003438380104392017
